년월,지점,평균기온(℃),최저기온(℃),최고기온(℃)
Oct-07,108,13.9,3.3,25.4
Nov-07,108,5.3,-8.9,21.3
Dec-07,108,-3.9,-20.1,9
Jan-08,108,-3.5,-14.3,6.2
Feb-08,108,-4,-15.8,8.4
Mar-08,108,2.9,-7.4,18.2
Apr-08,108,10.1,-0.7,22.9
May-08,108,14.9,5.2,25.2
Jun-08,108,20.7,11.6,32.4
Jul-08,108,23.5,14.7,32.9
Aug-08,108,24.3,14.8,33.6
Sep-08,108,19.3,9,28.7
Oct-08,108,13.6,-0.3,25.3
Nov-08,108,3.6,-8.6,18.9
Dec-08,108,-0.8,-12.7,11.7
Jan-09,108,-2.5,-13.6,7.6
Feb-09,108,-3.2,-13.2,8.8
Mar-09,108,1.8,-8.7,15.2
Apr-09,108,10.4,-1.6,23.3
May-09,108,15.4,5.7,29.8
Jun-09,108,20.6,11.2,31.7
Jul-09,108,24.6,15.4,31.8
Aug-09,108,25.3,19.8,35.6
Sep-09,108,20.2,10.1,29.5
Oct-09,108,12.2,-0.8,26.5
Nov-09,108,5.2,-7,20.3
Dec-09,108,-3.4,-14.6,11
Jan-10,108,-2.2,-19.9,8
Feb-10,108,-3.4,-19.6,8.3
Mar-10,108,2.5,-8.6,15
Apr-10,108,9.9,-1.8,23
May-10,108,16.3,5.9,31
Jun-10,108,19.8,12.4,31.5
Jul-10,108,23.3,15.9,33.3
Aug-10,108,24.2,16.7,32
Sep-10,108,19.1,10.2,27
Oct-10,108,13.7,1.3,24.1
Nov-10,108,5.5,-8.4,20.2
Dec-10,108,-4.6,-16.8,5.8
Jan-11,108,-5,-21.5,8.8
Feb-11,108,-1.1,-11.2,12.5
Mar-11,108,4,-5.3,19.1
Apr-11,108,9.4,0.3,24.1
May-11,108,15.6,3.7,30
Jun-11,108,20.3,10.7,30.6
Jul-11,108,23.5,16.9,31
Aug-11,108,25,18,34.5
Sep-11,108,20.8,11,32.8
Oct-11,108,11.6,0.1,22.9
Nov-11,108,6,-4.9,15.7
Dec-11,108,-3,-14.9,9.5
Jan-12,108,-4.7,-15.2,5.4
Feb-12,108,1,-9.9,14.7
Mar-12,108,4.1,-6.8,16.3
Apr-12,108,9.8,-2.5,23.1
May-12,108,14.8,4.7,29.7
Jun-12,108,20.7,12.3,30
Jul-12,108,23.8,16,32.2
Aug-12,108,24.6,17.7,34
Sep-12,108,17.7,7.3,32.2
Oct-12,108,11.1,-1.2,25.7
Nov-12,108,1.4,-9.9,16.5
Dec-12,108,-3,-18.6,8.8
Jan-13,108,-5.1,-18.9,6.3
Feb-13,108,-3.7,-19.6,11.5
Mar-13,108,1.9,-12,18.4
Apr-13,108,10.9,0.7,25.6
May-13,108,14.4,5,30
Jun-13,108,20.2,13.3,30.8
Jul-13,108,22.3,13,30.7
Aug-13,108,23.8,14.4,31.7
Sep-13,108,19.3,8,30
Oct-13,108,13,-1,30.1
Nov-13,108,4.9,-8.9,17.6
Dec-13,108,-1.9,-16.9,10.9
Jan-14,108,-2.2,-14,9.2
Feb-14,108,0.5,-10.7,12.3
Mar-14,108,5.2,-4.3,17.1
Apr-14,108,10.5,0.1,24.8
May-14,108,17.3,6.3,29.1
Jun-14,108,21.4,13,35
Jul-14,108,26.1,19.4,35.6
Aug-14,108,25.5,19.2,34.4
Sep-14,108,20.6,9.7,32.4
Oct-14,108,13.7,1.9,24.1
Nov-14,108,6.1,-7,21.1
Dec-14,108,-1,-10.2,14.1
Jan-15,108,-3.9,-21.3,12
Feb-15,108,-2.7,-16.3,11
